dataset_name,column_name,count,mean,median,std_dev,min,q1,q3,max,iqr,coefficient_of_variation
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_BCG,107,76.8096,95.27,56.0813,-100.0,92.5,96.62,100.0,4.12,0.7301
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_3_DOSES_OF_POLIO_VACCINE13,107,65.6338,80.45,48.7855,-95.38,73.405,85.78,100.0,12.375,0.7433
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_3_DOSES_OF_PENTA_OR_DPT_VACCINE,107,70.4849,86.74,52.3713,-94.09,81.455,91.485,100.0,10.03,0.743
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_THE_FIRST_DOSE_OF_MEASLES_CONTAINING_VACCINE_MCV,107,71.0436,87.78,52.3655,-96.4,82.73,91.185,100.0,8.455,0.7371
NFHS_5_FACTSHEETS,CHILDREN_AGE_24_35_MONTHS_WHO_HAVE_RECEIVED_A_SECOND_DOSE_OF_MEASLES_CONTAINING_VACCINE_MCV,107,25.9574,29.71,18.1953,-35.77,21.785,35.13,55.72,13.345,0.701
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_3_DOSES_OF_ROTAVIRUS_VACCINE14,107,26.6047,10.0,35.8234,-85.71,3.935,60.12,90.64,56.185,1.3465
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_3_DOSES_OF_PENTA_OR_HEPATITIS_B_VACCINE,107,68.0832,85.03,50.9596,-95.24,76.555,88.5,98.44,11.945,0.7485
NFHS_5_FACTSHEETS,CHILDREN_AGE_9_35_MONTHS_WHO_RECEIVED_A_VITAMIN_A_DOSE_IN_THE_LAST_6_MONTHS,110,69.5396,72.09,22.9513,-92.64,64.4925,82.89,94.35,18.3975,0.33
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_RECEIVED_MOST_OF_THEIR_VACCINATIONS_IN_A_PUBLIC_HEALTH_FACILITY,107,76.4565,94.83,55.5156,-100.0,89.14,97.37,100.0,8.23,0.7261
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_RECEIVED_MOST_OF_THEIR_VACCINATIONS_IN_A_PRIVATE_HEALTH_FACILITY,107,3.9691,2.51,5.3315,-9.2,0.85,7.045,17.95,6.195,1.3433
NFHS_5_FACTSHEETS,PREVALENCE_OF_DIARRHOEA_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_CHILDREN_UNDER_AGE_5_YEARS,110,6.0167,5.57,2.6642,0.96,4.2625,7.1775,13.86,2.915,0.4428
NFHS_5_FACTSHEETS,CHILDREN_WITH_DIARRHOEA_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_WHO_RECEIVED_ORAL_REHYDRATION_SALTS_ORS_CHILDREN_UNDER_AGE_5_YEARS,87,42.7597,61.11,49.0061,-88.93,53.93,67.095,80.78,13.165,1.1461
NFHS_5_FACTSHEETS,CHILDREN_WITH_DIARRHOEA_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_WHO_RECEIVED_ZINC_CHILDREN_UNDER_AGE_5_YEARS,87,20.5685,28.07,26.7761,-54.47,24.275,35.95,50.49,11.675,1.3018
NFHS_5_FACTSHEETS,CHILDREN_SWITH_DIARRHOEA_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_TAKEN_TO_A_HEALTH_FACILITY_OR_HEALTH_PROVIDER_CHILDREN_UNDER_AGE_5_YEARS,87,47.2276,69.06,50.4499,-91.16,54.315,73.81,86.91,19.495,1.0682
NFHS_5_FACTSHEETS,CHILDREN_PREVALENCE_OF_SYMPTOMS_OF_ACUTE_RESPIRATORY_INFECTION_ARI_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_CHILDREN_UNDER_AGE_5_YEARS,110,2.357,2.275,1.574,0.0,1.3525,3.0,10.45,1.6475,0.6678
NFHS_5_FACTSHEETS,CHILDREN_WITH_FEVER_OR_SYMPTOMS_OF_ARI_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_TAKEN_TO_A_HEALTH_FACILITY_OR_HEALTH_PROVIDER_CHILDREN_UNDER_AGE_5_YEARS,102,54.9303,66.77,39.3975,-94.83,57.3575,72.445,90.65,15.0875,0.7172
NFHS_5_FACTSHEETS,CHILDREN_UNDER_AGE_3_YEARS_BREASTFED_WITHIN_ONE_HOUR_OF_BIRTH15,110,46.7889,49.255,19.3355,-74.0,37.9075,58.3875,79.93,20.48,0.4133
NFHS_5_FACTSHEETS,CHILDREN_UNDER_AGE_6_MONTHS_EXCLUSIVELY_BREASTFED16,97,50.7991,62.95,39.6077,-93.29,55.05,70.26,81.52,15.21,0.7797
NFHS_5_FACTSHEETS,CHILDREN_AGE_6_8_MONTHS_RECEIVING_SOLID_OR_SEMI_SOLID_FOOD_AND_BREASTMILK16,88,34.1545,45.875,42.4138,-83.53,38.795,57.805,78.9,19.01,1.2418
NFHS_5_FACTSHEETS,BREASTFEEDING_CHILDREN_AGE_6_23_MONTHS_RECEIVING_AN_ADEQUATE_DIET16_17,107,11.1772,11.42,12.2685,-41.97,8.41,18.48,37.47,10.07,1.0976
NFHS_5_FACTSHEETS,NON_BREASTFEEDING_CHILDREN_AGE_6_23_MONTHS_RECEIVING_AN_ADEQUATE_DIET16_17,84,8.9517,11.97,14.9066,-43.69,6.5975,19.3925,32.47,12.795,1.6652
NFHS_5_FACTSHEETS,TOTAL_CHILDREN_AGE_6_23_MONTHS_RECEIVING_AN_ADEQUATE_DIET16_17,108,11.7744,12.22,12.1212,-31.9,9.15,19.0975,39.48,9.9475,1.0295
NFHS_5_FACTSHEETS,CHILDREN_UNDER_5_YEARS_WHO_ARE_STUNTED_HEIGHT_FOR_AGE_18,110,30.5775,30.635,6.4131,15.05,26.15,34.8525,48.21,8.7025,0.2097
NFHS_5_FACTSHEETS,CHILDREN_UNDER_5_YEARS_WHO_ARE_WASTED_WEIGHT_FOR_HEIGHT_18,110,16.8752,17.55,4.4138,7.55,13.1725,19.5175,27.33,6.345,0.2616
