dataset_name,column_name,total_records,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percentage
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_BCG,107,92.5,96.62,4.12,86.32,102.8,15,14.02
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_3_DOSES_OF_POLIO_VACCINE13,107,73.405,85.78,12.375,54.8425,104.3425,10,9.35
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_3_DOSES_OF_PENTA_OR_DPT_VACCINE,107,81.455,91.485,10.03,66.41,106.53,10,9.35
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_THE_FIRST_DOSE_OF_MEASLES_CONTAINING_VACCINE_MCV,107,82.73,91.185,8.455,70.0475,103.8675,10,9.35
NFHS_5_FACTSHEETS,CHILDREN_AGE_24_35_MONTHS_WHO_HAVE_RECEIVED_A_SECOND_DOSE_OF_MEASLES_CONTAINING_VACCINE_MCV,107,21.785,35.13,13.345,1.7675,55.1475,11,10.28
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_3_DOSES_OF_ROTAVIRUS_VACCINE14,107,3.935,60.12,56.185,-80.3425,144.3975,2,1.87
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_3_DOSES_OF_PENTA_OR_HEPATITIS_B_VACCINE,107,76.555,88.5,11.945,58.6375,106.4175,11,10.28
NFHS_5_FACTSHEETS,CHILDREN_AGE_9_35_MONTHS_WHO_RECEIVED_A_VITAMIN_A_DOSE_IN_THE_LAST_6_MONTHS,110,64.4925,82.89,18.3975,36.8962,110.4863,2,1.82
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_RECEIVED_MOST_OF_THEIR_VACCINATIONS_IN_A_PUBLIC_HEALTH_FACILITY,107,89.14,97.37,8.23,76.795,109.715,10,9.35
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_RECEIVED_MOST_OF_THEIR_VACCINATIONS_IN_A_PRIVATE_HEALTH_FACILITY,107,0.85,7.045,6.195,-8.4425,16.3375,6,5.61
NFHS_5_FACTSHEETS,PREVALENCE_OF_DIARRHOEA_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_CHILDREN_UNDER_AGE_5_YEARS,110,4.2625,7.1775,2.915,-0.11,11.55,6,5.45
NFHS_5_FACTSHEETS,CHILDREN_WITH_DIARRHOEA_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_WHO_RECEIVED_ORAL_REHYDRATION_SALTS_ORS_CHILDREN_UNDER_AGE_5_YEARS,87,53.93,67.095,13.165,34.1825,86.8425,13,14.94
NFHS_5_FACTSHEETS,CHILDREN_WITH_DIARRHOEA_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_WHO_RECEIVED_ZINC_CHILDREN_UNDER_AGE_5_YEARS,87,24.275,35.95,11.675,6.7625,53.4625,14,16.09
NFHS_5_FACTSHEETS,CHILDREN_SWITH_DIARRHOEA_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_TAKEN_TO_A_HEALTH_FACILITY_OR_HEALTH_PROVIDER_CHILDREN_UNDER_AGE_5_YEARS,87,54.315,73.81,19.495,25.0725,103.0525,13,14.94
NFHS_5_FACTSHEETS,CHILDREN_PREVALENCE_OF_SYMPTOMS_OF_ACUTE_RESPIRATORY_INFECTION_ARI_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_CHILDREN_UNDER_AGE_5_YEARS,110,1.3525,3.0,1.6475,-1.1187,5.4712,6,5.45
NFHS_5_FACTSHEETS,CHILDREN_WITH_FEVER_OR_SYMPTOMS_OF_ARI_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_TAKEN_TO_A_HEALTH_FACILITY_OR_HEALTH_PROVIDER_CHILDREN_UNDER_AGE_5_YEARS,102,57.3575,72.445,15.0875,34.7262,95.0763,10,9.8
