A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,COLUMN_2,COLUMN_3,COLUMN_4,COLUMN_5,COLUMN_6,COLUMN_7,COLUMN_8,COLUMN_9,COLUMN_10,COLUMN_11,COLUMN_12,COLUMN_13,COLUMN_14,COLUMN_15
,,,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",,,,,,,,,
,,,,,,,,,,,,,,
1.0,8.0,38.0,SUB-DISTRICT,Boniyar,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,39.0,SUB-DISTRICT,Tangmarg,Total,96.0,0.0,2.0,16701.0,102298.0,54798.0,47500.0,111.43,918.0
1.0,8.0,39.0,SUB-DISTRICT,Tangmarg,Rural,96.0,0.0,0.0,16318.0,98443.0,51904.0,46539.0,101.93,966.0
1.0,8.0,39.0,SUB-DISTRICT,Tangmarg,Urban,0.0,0.0,2.0,383.0,3855.0,2894.0,961.0,9.5,406.0
1.0,9.0,0.0,DISTRICT,Bandipore,Total,119.0,3.0,3.0,58392.0,392232.0,207680.0,184552.0,345.0,1137.0
1.0,9.0,0.0,DISTRICT,Bandipore,Rural,119.0,3.0,0.0,48794.0,326871.0,172263.0,154608.0,295.37,1107.0
1.0,9.0,0.0,DISTRICT,Bandipore,Urban,0.0,0.0,3.0,9598.0,65361.0,35417.0,29944.0,49.63,1317.0
1.0,9.0,40.0,SUB-DISTRICT,Gurez,Total,28.0,0.0,0.0,5026.0,37992.0,22978.0,15014.0,44.66,851.0
1.0,9.0,40.0,SUB-DISTRICT,Gurez,Rural,28.0,0.0,0.0,5026.0,37992.0,22978.0,15014.0,44.66,851.0
1.0,9.0,40.0,SUB-DISTRICT,Gurez,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9.0,41.0,SUB-DISTRICT,Bandipora,Total,41.0,1.0,1.0,28360.0,177738.0,93034.0,84704.0,116.21,1529.0
1.0,9.0,41.0,SUB-DISTRICT,Bandipora,Rural,41.0,1.0,0.0,22776.0,140657.0,72858.0,67799.0,102.81,1368.0
1.0,9.0,41.0,SUB-DISTRICT,Bandipora,Urban,0.0,0.0,1.0,5584.0,37081.0,20176.0,16905.0,13.4,2767.0
1.0,9.0,42.0,SUB-DISTRICT,Sonawari,Total,50.0,2.0,2.0,25006.0,176502.0,91668.0,84834.0,184.0,959.0
1.0,9.0,42.0,SUB-DISTRICT,Sonawari,Rural,50.0,2.0,0.0,20992.0,148222.0,76427.0,71795.0,147.77,1003.0
1.0,9.0,42.0,SUB-DISTRICT,Sonawari,Urban,0.0,0.0,2.0,4014.0,28280.0,15241.0,13039.0,36.23,781.0
1.0,10.0,0.0,DISTRICT,Srinagar,Total,11.0,0.0,5.0,191678.0,1236829.0,651124.0,585705.0,1979.0,625.0
1.0,10.0,0.0,DISTRICT,Srinagar,Rural,11.0,0.0,0.0,2844.0,17313.0,8916.0,8397.0,1684.47,10.0
1.0,10.0,0.0,DISTRICT,Srinagar,Urban,0.0,0.0,5.0,188834.0,1219516.0,642208.0,577308.0,294.53,4141.0
1.0,10.0,43.0,SUB-DISTRICT,Srinagar (North),Total,8.0,0.0,3.0,188079.0,1216358.0,640847.0,575511.0,298.07,4081.0
1.0,10.0,43.0,SUB-DISTRICT,Srinagar (North),Rural,8.0,0.0,0.0,1710.0,10910.0,5725.0,5185.0,11.59,941.0
1.0,10.0,43.0,SUB-DISTRICT,Srinagar (North),Urban,0.0,0.0,3.0,186369.0,1205448.0,635122.0,570326.0,286.48,4208.0
1.0,10.0,44.0,SUB-DISTRICT,Srinagar (South),Total,3.0,0.0,2.0,3599.0,20471.0,10277.0,10194.0,12.42,1648.0
1.0,10.0,44.0,SUB-DISTRICT,Srinagar (South),Rural,3.0,0.0,0.0,1134.0,6403.0,3191.0,3212.0,4.37,1465.0
1.0,10.0,44.0,SUB-DISTRICT,Srinagar (South),Urban,0.0,0.0,2.0,2465.0,14068.0,7086.0,6982.0,8.05,1748.0
1.0,11.0,0.0,DISTRICT,Ganderbal,Total,113.0,2.0,3.0,45361.0,297446.0,158720.0,138726.0,259.0,1148.0
1.0,11.0,0.0,DISTRICT,Ganderbal,Rural,113.0,2.0,0.0,38395.0,250407.0,133715.0,116692.0,233.6,1072.0
1.0,11.0,0.0,DISTRICT,Ganderbal,Urban,0.0,0.0,3.0,6966.0,47039.0,25005.0,22034.0,25.4,1852.0
1.0,11.0,45.0,SUB-DISTRICT,Lar,Total,42.0,0.0,1.0,13620.0,90694.0,48857.0,41837.0,82.92,1094.0
1.0,11.0,45.0,SUB-DISTRICT,Lar,Rural,42.0,0.0,0.0,12072.0,80223.0,43281.0,36942.0,73.38,1093.0
